block_seq_num,block_var_num,block_route_num,block_run_num
5989281,1,671,6
5989282,1,671,5
5989285,1,671,2
5989303,1,671,11
5989340,1,671,9
5989401,1,50,7
5989455,1,50,9
5989483,1,50,1
5989485,1,50,13
5989486,1,50,12
5989487,1,50,10
5989488,1,193,8
5989596,1,161,1
5989664,1,671,13
5989683,1,161,1
5990297,1,7,7
5990300,1,7,11
5990302,1,7,12
5990374,1,2,8
5990375,1,2,4
5990376,1,2,5
5990377,1,2,7
5990378,1,2,9
5990379,1,2,6
5990380,1,2,3
5990381,1,2,1
5990382,1,2,2
5990384,1,3,2
5990388,1,10,3
5990389,1,10,4
5990390,1,7,1
5990392,1,7,3
5990395,1,7,7
5990398,1,7,12
5990399,1,7,9
5990407,1,7,19
5990408,1,36,1
5990410,1,36,3
5990412,1,36,5
5990413,1,36,6
5990414,1,36,7
5990481,1,10,3
5990482,1,10,4
5990483,1,36,9
5990484,1,36,8
5990529,1,44,3
5990531,1,44,10
5990532,1,44,14
5990534,1,44,18
5990535,1,44,19
5990541,1,7,24
5990542,1,7,21
5990544,1,7,18
5990545,1,7,19
5990547,1,7,15
5990550,1,7,12
5990555,1,7,7
5990556,1,7,4
5990557,1,7,3
5990559,1,7,5
5990561,1,7,1
5990575,1,70,15
5990584,1,3,19
5990590,1,3,20
5990645,1,44,11
5990649,1,70,13
5990704,1,3,4
5990705,1,3,5
5990706,1,3,13
5990707,1,7,30
5990708,1,3,8
5990709,1,3,10
5990710,1,7,26
5990711,1,7,27
5990712,1,7,28
5990713,1,44,17
5990714,1,44,2
5990715,1,44,4
5990716,1,44,7
5990717,1,44,8
5990718,1,7,8
5990719,1,7,29
5990720,1,7,31
5990721,1,7,17
5990722,1,7,32
5990861,1,128,1
5990862,1,128,2
5990863,1,128,3
5990864,1,128,4
5990865,1,128,5
5990866,1,128,6
5990867,1,128,7
5990868,1,128,8
5990869,1,128,9
5990870,1,128,10
5990871,1,128,17
5990872,1,128,14
5990874,1,128,19
5990875,1,128,13
5990877,1,128,21
5990878,1,128,18
5990879,1,128,16
5990881,1,128,12
5990882,1,28,8
5990885,1,26,3
5990902,1,62,2
5990912,1,62,12
5990919,1,62,19
5991174,1,106,7
5991180,1,11,1
5991181,1,11,2
5991247,1,11,3
5991248,1,11,4
5991249,1,11,5
5991250,1,60,8
5991251,1,60,7
5991252,1,60,3
5991253,1,60,2
5991255,1,60,9
5991256,1,60,10
5991262,1,60,1
5991263,1,60,4
5991264,1,60,5
5991271,1,106,7
5991290,1,60,9
5991347,1,60,2
5991348,1,60,3
5991349,1,60,6
5991592,1,60,4
5991593,1,60,1
5991852,1,599,7
5991853,1,599,12
5991854,1,599,1
