block_identifier,service_id,trip_id,trip_sequence
5989281,55578,51781407,46
5989282,55578,51781397,46
5989282,55578,51781377,51
5989285,55578,51781400,54
5989303,55578,51781362,34
5989303,55578,51781495,40
5989340,55578,51781401,34
5989340,55578,51781461,39
5989340,55578,51781462,42
5989401,55578,51781018,6
5989455,55578,51779959,4
5989483,55578,51779958,1
5989483,55578,51781028,8
5989485,55578,51779962,1
5989486,55578,51779960,1
5989487,55578,51779961,1
5989488,55578,51781161,2
5989596,10718,51815213,1
5989664,11532,51942113,11
5989683,11532,51815216,1
5990297,10718,51702546,37
5990297,10718,51702549,41
5990297,10718,51784135,42
5990300,10718,51702547,37
5990300,10718,51784137,38
5990302,10718,51784134,34
5990302,10718,51702548,37
5990302,10718,51784136,38
5990374,10718,44565275,1
5990374,10718,44565256,2
5990374,10718,41986713,3
5990374,10718,41986718,4
5990374,10718,44565257,5
5990374,10718,44565255,6
5990374,10718,41986714,7
5990374,10718,41986717,8
5990374,10718,44565258,9
5990374,10718,44565254,10
5990374,10718,41986715,11
5990374,10718,41986716,12
5990374,10718,44565259,13
5990374,10718,44565288,14
5990374,10718,41986746,15
5990374,10718,41986750,16
5990374,10718,44565269,17
5990374,10718,44565262,18
5990374,10718,41986745,19
5990374,10718,41986751,20
5990374,10718,44565270,21
5990374,10718,44565272,22
5990374,10718,41986747,23
5990374,10718,41986754,24
5990374,10718,44565277,25
5990374,10718,44565264,26
5990374,10718,41986748,27
5990374,10718,41986755,28
5990374,10718,44565276,29
5990374,10718,44565260,30
5990374,10718,41986749,31
5990374,10718,41986752,32
5990375,10718,44565151,1
5990375,10718,41986609,2
5990375,10718,41986612,3
5990375,10718,44565156,4
5990375,10718,44565153,5
5990375,10718,41986608,6
5990375,10718,41986613,7
5990375,10718,44565155,8
5990375,10718,44565152,9
5990375,10718,41986610,10
5990375,10718,41986615,11
5990375,10718,44565157,12
5990375,10718,44565154,13
5990375,10718,41986611,14
5990375,10718,41986614,15
5990375,10718,44565162,16
5990375,10718,44565175,17
5990375,10718,41986632,18
5990375,10718,41986633,19
5990375,10718,44565163,20
5990375,10718,44565158,21
5990375,10718,41986635,22
5990375,10718,41986637,23
5990375,10718,44565164,24
5990375,10718,44565159,25
5990375,10718,41986634,26
5990375,10718,41986638,27
5990375,10718,44565165,28
5990375,10718,44565160,29
5990375,10718,41986636,30
5990375,10718,41986639,31
5990375,10718,44565166,32
5990375,10718,44565583,33
5990375,10718,44565688,34
5990375,10718,51779947,35
5990376,10718,41986646,1
5990376,10718,41986647,2
5990376,10718,44565189,3
5990376,10718,44565186,4
5990376,10718,41986644,5
5990376,10718,41986648,6
5990376,10718,44565190,7
5990376,10718,44565188,8
5990376,10718,41986645,9
5990376,10718,41986649,10
5990376,10718,44565191,11
5990376,10718,44565187,12
5990376,10718,41986643,13
5990376,10718,41986650,14
5990376,10718,44565196,15
5990376,10718,44565211,16
5990376,10718,41986669,17
5990376,10718,41986671,18
5990376,10718,44565197,19
5990376,10718,44565192,20
5990376,10718,41986668,21
5990376,10718,41986670,22
5990376,10718,44565198,23
5990376,10718,44565193,24
5990376,10718,41986674,25
5990376,10718,41986677,26
5990376,10718,44565200,27
5990376,10718,44565194,28
5990376,10718,41986673,29
5990376,10718,41986678,30
5990376,10718,44565199,31
5990376,10718,44565195,32
5990376,10718,41986672,33
5990376,10718,41986675,34
5990377,10718,44565923,1
5990377,10718,44565222,2
5990377,10718,44565218,3
5990377,10718,44565239,4
5990377,10718,44565215,5
5990377,10718,44565236,6
5990377,10718,44565220,7
5990377,10718,44565228,8
5990377,10718,44565244,9
5990377,10718,44565229,10
5990377,10718,44565226,11
5990377,10718,44565230,12
5990377,10718,44565225,13
5990377,10718,44565231,14
5990377,10718,44565233,15
5990377,10718,44565232,16
5990377,10718,44565234,17
5990377,10718,44565243,18
5990377,10718,44565246,19
5990377,10718,41986712,20
5990377,10718,41986641,21
5990378,10718,41986758,1
5990378,10718,41986705,2
5990378,10718,44565223,3
5990378,10718,44565245,4
5990378,10718,41986702,5
5990378,10718,41986707,6
5990378,10718,44565227,7
5990378,10718,44565224,8
5990378,10718,41986706,9
5990378,10718,41986759,10
5990379,10718,44565214,1
5990379,10718,44565221,2
5990379,10718,44565217,3
5990379,10718,44565235,4
5990379,10718,44565216,5
5990379,10718,44565238,6
5990379,10718,44565219,7
5990379,10718,44565268,8
5990379,10718,44565291,9
5990379,10718,44565267,10
5990379,10718,44565261,11
5990379,10718,44565265,12
5990379,10718,44565263,13
5990379,10718,44565266,14
5990379,10718,44565273,15
5990379,10718,44565271,16
5990379,10718,44565664,17
5990379,10718,44565634,18
5990379,10718,44565632,19
5990379,10718,44565638,20
5990380,10718,44565921,1
5990380,10718,44565101,2
5990380,10718,44565098,3
5990380,10718,44565109,4
5990380,10718,44565099,5
5990380,10718,44565107,6
5990380,10718,44565100,7
5990380,10718,44565106,8
5990380,10718,44565111,9
5990380,10718,44565103,10
5990380,10718,44565114,11
5990380,10718,44565118,12
5990380,10718,44565117,13
5990380,10718,44565121,14
5990380,10718,44565131,15
5990380,10718,44565134,16
5990380,10718,44565132,17
5990380,10718,44565140,18
5990381,10718,44565922,1
5990381,10718,44565077,2
5990381,10718,44565075,3
5990381,10718,41986538,4
5990381,10718,41986539,5
5990381,10718,44565076,6
5990381,10718,44565082,7
5990381,10718,41986544,8
5990381,10718,41986545,9
5990381,10718,44565083,10
5990381,10718,44565081,11
5990381,10718,41986543,12
5990381,10718,41986549,13
5990381,10718,44565085,14
5990381,10718,44565095,15
5990381,10718,41986561,16
5990381,10718,41986575,17
5990381,10718,44565102,18
5990381,10718,44565113,19
5990381,10718,41986573,20
5990381,10718,41986590,21
5990381,10718,44565119,22
5990381,10718,44565115,23
5990381,10718,41986589,24
5990381,10718,41986591,25
5990381,10718,44565123,26
5990381,10718,44565127,27
5990381,10718,41986601,28
5990381,10718,41986603,29
5990381,10718,44565135,30
5990381,10718,44565128,31
5990381,10718,41986602,32
5990381,10718,41986607,33
5990381,10718,44565141,34
5990381,10718,44565139,35
5990381,10718,44565292,36
5990382,10718,41986551,1
5990382,10718,41986552,2
5990382,10718,44565091,3
5990382,10718,44565088,4
5990382,10718,44565094,5
5990382,10718,44565090,6
5990382,10718,44565093,7
5990382,10718,44565089,8
5990382,10718,44565092,9
5990382,10718,44565097,10
5990382,10718,44565104,11
5990382,10718,44565112,12
5990382,10718,44565105,13
5990382,10718,44565116,14
5990382,10718,44565120,15
5990382,10718,44565122,16
5990382,10718,44565133,17
5990382,10718,44565129,18
5990382,10718,44565130,19
5990384,10718,51781156,37
5990388,10718,51678688,1
5990388,10718,51678706,2
5990388,10718,51678690,3
5990388,10718,51678708,4
5990388,10718,51678692,5
5990388,10718,51678710,6
5990388,10718,51678694,7
5990388,10718,51678712,8
5990388,10718,51678696,9
5990388,10718,51678714,10
5990388,10718,51678698,11
5990388,10718,51678716,12
5990388,10718,51678700,13
5990388,10718,51678718,14
5990388,10718,51678702,15
5990388,10718,51678720,16
5990388,10718,51678704,17
5990388,10718,51678722,18
5990389,10718,51678689,1
5990389,10718,51678707,2
5990389,10718,51678691,3
5990389,10718,51678709,4
5990389,10718,51678693,5
5990389,10718,51678711,6
5990389,10718,51678695,7
5990389,10718,51678713,8
5990389,10718,51678697,9
5990389,10718,51678715,10
5990389,10718,51678699,11
5990389,10718,51678717,12
5990389,10718,51678701,13
5990389,10718,51678719,14
5990389,10718,51678703,15
5990389,10718,51678721,16
5990389,10718,51678705,17
5990389,10718,51678723,18
