service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
90868,1,1,1,1,1,0,0,20210203,20210611
89041,0,1,1,1,1,0,0,20210203,20210611
55578,1,1,1,1,1,0,0,20210322,20210611
35290,1,1,1,1,1,0,0,20210203,20210319
33463,0,1,1,1,1,0,0,20210203,20210319
31691,1,1,1,1,1,0,0,20210208,20210319
29864,0,1,1,1,1,0,0,20210208,20210319
26385,0,1,1,0,0,0,0,20210208,20210319
25579,0,0,0,0,0,0,0,20210208,20210319
25569,0,0,0,0,0,0,0,20210208,20210318
19902,0,0,0,0,0,0,1,20210207,20210606
19087,0,0,0,0,0,1,0,20210206,20210605
18075,0,0,0,0,0,0,1,20210207,20210606
11532,0,0,0,0,0,0,1,20210321,20210606
10718,0,0,0,0,0,1,0,20210320,20210605
10196,0,0,0,0,0,1,0,20210206,20210313
8536,0,0,0,0,0,1,0,20210206,20210313
8370,0,0,0,0,0,0,1,20210207,20210314
8369,0,0,0,0,0,1,0,20210206,20210313
6709,0,0,0,0,0,1,0,20210206,20210313
6543,0,0,0,0,0,0,1,20210207,20210314
3599,0,0,1,1,1,0,0,20210203,20210205
1660,0,0,0,0,0,1,0,20210206,20210206
