nhood,nhood_y,num_nhood
Algona::,"['Auburn::', 'Pacific::']",2
Auburn::,"['Algona::', 'Pacific::', 'Kent::', 'Renton:Benson:', 'Renton:City Center:', 'Renton:Talbot:', 'Burien::', 'Des Moines::', 'Normandy Park::', 'Federal Way::', 'Unincorporated::', 'Enumclaw::']",12
Bellevue:Bridle Trails:,"['Bellevue:Northwest Bellevue:', 'Bellevue:West Bellevue:', 'Bellevue:Wilburton:', 'Kirkland:Highlands:', 'Kirkland:Lakeview:', 'Kirkland:Moss Bay:', 'Kirkland:North Rose Hill:', 'Redmond::', 'Unincorporated::']",9
Bellevue:Crossroads:,"['Bellevue:Northeast Bellevue:', 'Bellevue:Sammamish - East Lake Hills:', 'Bellevue:West Lake Hills:', 'Redmond::', 'Bellevue:Northwest Bellevue:', 'Bellevue:West Bellevue:', 'Bellevue:Wilburton:', 'Bellevue:Factoria:', 'Kirkland:Bridle Trails:', 'Kirkland:Central Houghton:', 'Kirkland:Everest:', 'Kirkland:Moss Bay:', 'Kirkland:South Rose Hill:']",13
Bellevue:Eastgate - Cougar Mountain:,"['Bellevue:Northwest Bellevue:', 'Bellevue:Sammamish - East Lake Hills:', 'Bellevue:West Bellevue:', 'Bellevue:West Lake Hills:', 'Bellevue:Wilburton:', 'Bellevue:Woodridge:', 'Clyde Hill::', 'Issaquah::', 'Medina::', 'Seattle:Capitol Hill:Montlake', 'Seattle:University District:', 'Unincorporated::']",12
Bellevue:Factoria:,"['Bellevue:Crossroads:', 'Bellevue:Northeast Bellevue:', 'Bellevue:Sammamish - East Lake Hills:', 'Bellevue:West Lake Hills:', 'Kirkland:Bridle Trails:', 'Kirkland:Central Houghton:', 'Kirkland:Everest:', 'Kirkland:Moss Bay:', 'Kirkland:South Rose Hill:', 'Redmond::', 'Bellevue:Woodridge:', 'Seattle:Beacon Hill:North Beacon Hill', 'Seattle:Central Area:Atlantic', 'Seattle:Downtown:Belltown', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:International District', 'Seattle:Downtown:Pike-Market', 'Seattle:Downtown:Pioneer Square', 'Issaquah::', 'Seattle:Cascade:South Lake Union', 'Bellevue:Newport:', 'Bellevue:West Bellevue:', 'Newcastle::', 'Renton:City Center:', 'Renton:Highlands:', 'Unincorporated::', 'Mercer Island::', 'Sammamish::']",28
Bellevue:Newport:,"['Bellevue:Factoria:', 'Bellevue:West Bellevue:', 'Bellevue:West Lake Hills:', 'Bellevue:Woodridge:', 'Newcastle::', 'Renton:City Center:', 'Renton:Highlands:', 'Renton:East Plateau:', 'Renton:Kennydale:', 'Seattle:Downtown:Belltown', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:International District', 'Seattle:Downtown:Pike-Market', 'Seattle:Downtown:Pioneer Square', 'Unincorporated::']",15
Bellevue:Northeast Bellevue:,"['Bellevue:Crossroads:', 'Bellevue:Sammamish - East Lake Hills:', 'Bellevue:West Lake Hills:', 'Redmond::', 'Bellevue:Northwest Bellevue:', 'Bellevue:West Bellevue:', 'Bellevue:Wilburton:', 'Bellevue:Factoria:', 'Kirkland:Bridle Trails:', 'Kirkland:Central Houghton:', 'Kirkland:Everest:', 'Kirkland:Moss Bay:', 'Kirkland:South Rose Hill:', 'Kenmore::', 'Kirkland:Finn Hill:', 'Kirkland:North Juanita:', 'Kirkland:North Rose Hill:', 'Kirkland:Totem Lake:', 'Unincorporated::', 'Issaquah::', 'Sammamish::']",21
Bellevue:Northwest Bellevue:,"['Bellevue:Bridle Trails:', 'Bellevue:West Bellevue:', 'Bellevue:Wilburton:', 'Kirkland:Highlands:', 'Kirkland:Lakeview:', 'Kirkland:Moss Bay:', 'Kirkland:North Rose Hill:', 'Redmond::', 'Unincorporated::', 'Bellevue:Crossroads:', 'Bellevue:Northeast Bellevue:', 'Bellevue:Sammamish - East Lake Hills:', 'Bellevue:West Lake Hills:', 'Bellevue:Eastgate - Cougar Mountain:', 'Bellevue:Woodridge:', 'Clyde Hill::', 'Issaquah::', 'Medina::', 'Seattle:Capitol Hill:Montlake', 'Seattle:University District:', 'Kirkland:Central Houghton:', 'Kirkland:Everest:', 'Kirkland:Norkirk:', 'Kirkland:North Juanita:', 'Kirkland:South Juanita:', 'Kirkland:Totem Lake:', 'Yarrow Point::', 'Mercer Island::', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:International District', 'Seattle:Downtown:Pioneer Square']",31
Bellevue:Sammamish - East Lake Hills:,"['Bellevue:Crossroads:', 'Bellevue:Northeast Bellevue:', 'Bellevue:West Lake Hills:', 'Redmond::', 'Bellevue:Northwest Bellevue:', 'Bellevue:West Bellevue:', 'Bellevue:Wilburton:', 'Bellevue:Factoria:', 'Kirkland:Bridle Trails:', 'Kirkland:Central Houghton:', 'Kirkland:Everest:', 'Kirkland:Moss Bay:', 'Kirkland:South Rose Hill:', 'Bellevue:Eastgate - Cougar Mountain:', 'Bellevue:Woodridge:', 'Clyde Hill::', 'Issaquah::', 'Medina::', 'Seattle:Capitol Hill:Montlake', 'Seattle:University District:', 'Unincorporated::']",21
