route_id,nhoods
100001,"['Seattle:Downtown:International District', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:Belltown', 'Seattle:Queen Anne:Lower Queen Anne', 'Seattle:Queen Anne:West Queen Anne', 'Seattle:Queen Anne:North Queen Anne', 'Seattle:Downtown:Yesler Terrace']"
100002,"['Seattle:Capitol Hill:Broadway', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:First Hill', 'Seattle:Capitol Hill:Stevens', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:International District']"
100003,"['Renton:City Center:', 'Renton:West Hill:', 'Seattle:Industrial District:', 'Seattle:Downtown:International District', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:Central Business District']"
100004,"['Renton:Highlands:', 'Renton:City Center:']"
100005,"['Seattle:Rainier Valley:Dunlap', 'Seattle:Rainier Valley:Brighton', 'Seattle:Rainier Valley:Columbia City', 'Seattle:Central Area:Atlantic', 'Seattle:Downtown:Yesler Terrace', 'Seattle:Downtown:International District', 'Renton:City Center:', 'Renton:West Hill:', 'Unincorporated::', 'Seattle:Rainier Valley:Rainier View', 'Seattle:Rainier Valley:Rainier Beach', 'Seattle:Beacon Hill:North Beacon Hill', 'Seattle:Beacon Hill:Mid-Beacon Hill', 'Seattle:Beacon Hill:Holly Park', 'Seattle:Beacon Hill:South Beacon Hill']"
100006,"['Seattle:Beacon Hill:North Beacon Hill', 'Seattle:Beacon Hill:Mid-Beacon Hill', 'Seattle:Georgetown:', 'Seattle:Beacon Hill:South Beacon Hill', 'Seattle:Rainier Valley:Dunlap', 'Seattle:Rainier Valley:Rainier Beach', 'Tukwila::', 'Unincorporated::', 'Seattle:Rainier Valley:Rainier View', 'Renton:West Hill:', 'Renton:City Center:']"
100009,"['Seattle:Downtown:Central Business District', 'Seattle:Capitol Hill:Broadway', 'Seattle:Capitol Hill:Stevens', 'Seattle:Central Area:Minor', 'Seattle:Central Area:Mann', 'Seattle:Central Area:Harrison - Denny-Blaine', 'Seattle:Capitol Hill:Madison Park', 'Seattle:Downtown:Pioneer Square', 'Seattle:Industrial District:']"
100011,"['Seattle:Downtown:Belltown', 'Seattle:Downtown:Pike-Market', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:Pioneer Square', 'Bellevue:Newport:', 'Renton:Kennydale:', 'Renton:Highlands:', 'Renton:East Plateau:', 'Unincorporated::', 'Seattle:Downtown:International District']"
100016,"['Vashon::', 'Unincorporated::']"
100017,"['Vashon::', 'Unincorporated::']"
100018,"['Seattle:Downtown:Central Business District', 'Seattle:Downtown:First Hill', 'Seattle:Central Area:Minor', 'Seattle:Capitol Hill:Stevens', 'Seattle:Capitol Hill:Broadway']"
100019,"['Burien::', 'White Center::', 'Seattle:Delridge:South Delridge', 'Seattle:Delridge:Riverview', 'Seattle:Delridge:North Delridge', 'Unincorporated::', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:Belltown', 'Seattle:Delridge:High Point', 'Seattle:Delridge:Roxhill']"
100023,"['Tukwila::', 'Seattle:Georgetown:', 'Seattle:Beacon Hill:Mid-Beacon Hill', 'Seattle:Industrial District:', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:Belltown', 'SeaTac::']"
100024,"['Seattle:Delridge:North Delridge', 'Unincorporated::', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:Central Business District', 'Seattle:Delridge:Riverview', 'Seattle:Delridge:South Delridge', 'Seattle:Delridge:Roxhill', 'Seattle:Delridge:Highland Park']"
100026,"['Seattle:West Seattle:North Admiral', 'Seattle:West Seattle:Genesee', 'Seattle:West Seattle:Seaview', 'Seattle:West Seattle:Gatewood', 'Seattle:Delridge:High Point', 'Seattle:Delridge:South Delridge', 'Seattle:Delridge:Riverview', 'White Center::', 'Burien::', 'SeaTac::', 'Tukwila::', 'Seattle:Delridge:Highland Park', 'Seattle:West Seattle:Fairmount Park']"
100028,"['Seattle:Downtown:First Hill', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:Belltown', 'Seattle:Queen Anne:Lower Queen Anne', 'Seattle:Queen Anne:East Queen Anne', 'Seattle:Queen Anne:North Queen Anne', 'Seattle:Queen Anne:West Queen Anne', 'Seattle:Downtown:International District', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:Yesler Terrace']"
100030,"['Burien::', 'White Center::', 'Seattle:Delridge:Highland Park', 'Seattle:South Park:', 'Seattle:Georgetown:', 'Seattle:Industrial District:', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:Belltown', 'Seattle:Delridge:Riverview']"
100031,"['Burien::', 'SeaTac::', 'Unincorporated::', 'Seattle:South Park:', 'Seattle:Georgetown:', 'Seattle:Industrial District:', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:Belltown']"
100039,"['Seattle:Downtown:International District', 'Seattle:Central Area:Atlantic', 'Seattle:Central Area:Leschi', 'Seattle:Rainier Valley:Mount Baker', 'Seattle:Downtown:Yesler Terrace', 'Seattle:Downtown:Belltown', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:Pioneer Square']"
100042,"['Renton:City Center:', 'Renton:Benson:', 'Renton:Fairwood:']"
100045,"['Kent::', 'Tukwila::', 'Seattle:Industrial District:', 'Seattle:Downtown:International District', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:Central Business District']"
100048,"['Kent::', 'Renton:Valley:', 'Renton:City Center:']"
100060,"['Maple Valley::', 'Covington::', 'Kent::']"
100072,"['Federal Way::', 'Unincorporated::', 'Auburn::']"
100073,"['Unincorporated::', 'Federal Way::']"
100074,"['Kent::', 'Unincorporated::', 'Federal Way::']"
100078,['Federal Way::']
100089,"['Seattle:Central Area:Madrona', 'Seattle:Central Area:Harrison - Denny-Blaine', 'Seattle:Central Area:Mann', 'Seattle:Central Area:Minor', 'Seattle:Capitol Hill:Broadway', 'Seattle:Downtown:First Hill', 'Seattle:Downtown:Belltown', 'Seattle:Downtown:Central Business District', 'Seattle:Queen Anne:North Queen Anne', 'Seattle:Queen Anne:West Queen Anne', 'Seattle:Queen Anne:Lower Queen Anne', 'Seattle:Queen Anne:East Queen Anne', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:International District']"
100099,"['Issaquah::', 'Unincorporated::', 'Snoqualmie::', 'North Bend::']"
100101,"['Seattle:Delridge:Roxhill', 'Seattle:Delridge:High Point', 'Seattle:Delridge:North Delridge', 'Unincorporated::', 'Seattle:Industrial District:', 'Seattle:Downtown:Belltown', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:Pioneer Square', 'Seattle:West Seattle:Fairmount Park', 'Seattle:West Seattle:Gatewood', 'Seattle:West Seattle:Fauntleroy', 'Seattle:West Seattle:Arbor Heights']"
100104,"['Seattle:Downtown:Belltown', 'Seattle:Downtown:Pike-Market', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:Pioneer Square', 'Bellevue:Factoria:', 'Bellevue:West Lake Hills:', 'Bellevue:Woodridge:', 'Seattle:Central Area:Atlantic', 'Seattle:Downtown:International District', 'Seattle:Beacon Hill:North Beacon Hill']"
100113,"['Bellevue:West Lake Hills:', 'Bellevue:Sammamish - East Lake Hills:', 'Bellevue:Northeast Bellevue:', 'Bellevue:Crossroads:', 'Redmond::']"
100132,"['Seattle:Magnolia:Lawton Park', 'Seattle:Magnolia:Briarcliff', 'Seattle:Magnolia:Southeast Magnolia', 'Seattle:Interbay:', 'Seattle:Queen Anne:Lower Queen Anne', 'Seattle:Downtown:Belltown', 'Seattle:Industrial District:', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:Central Business District', 'Seattle:Queen Anne:West Queen Anne']"
100133,"['Renton:City Center:', 'Renton:Highlands:', 'Newcastle::', 'Bellevue:Newport:', 'Bellevue:Factoria:', 'Bellevue:Woodridge:', 'Bellevue:West Lake Hills:', 'Bellevue:West Bellevue:']"
100136,"['Kirkland:Moss Bay:', 'Kirkland:Everest:', 'Kirkland:Central Houghton:', 'Kirkland:South Rose Hill:', 'Redmond::', 'Bellevue:Northeast Bellevue:', 'Bellevue:Crossroads:', 'Bellevue:West Lake Hills:', 'Bellevue:Factoria:', 'Bellevue:Sammamish - East Lake Hills:', 'Kirkland:Bridle Trails:']"
100146,"['Seattle:University District:', 'Medina::', 'Yarrow Point::', 'Kirkland:Lakeview:', 'Bellevue:Northwest Bellevue:', 'Kirkland:Central Houghton:', 'Kirkland:Everest:', 'Kirkland:Moss Bay:', 'Kirkland:Norkirk:', 'Kirkland:South Juanita:', 'Kirkland:Totem Lake:', 'Kirkland:North Juanita:', 'Seattle:Capitol Hill:Montlake']"
100148,"['Bothell::', 'Woodinville:Upper West Ridge:', 'Kirkland:Kingsgate:', 'Kirkland:North Juanita:', 'Kirkland:Totem Lake:', 'Yarrow Point::', 'Medina::', 'Seattle:Cascade:South Lake Union', 'Seattle:Downtown:Belltown', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:International District']"
100151,"['Seattle:Northgate:Maple Leaf', 'Seattle:Northgate:North College Park', 'Seattle:Green Lake:', 'Seattle:Wallingford:', 'Seattle:Fremont:', 'Seattle:Queen Anne:East Queen Anne', 'Seattle:Cascade:South Lake Union', 'Seattle:Downtown:Belltown', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:Pioneer Square', 'Seattle:Industrial District:', 'Seattle:Cascade:Westlake']"
100160,"['Issaquah::', 'Sammamish::', 'Unincorporated::', 'Redmond::', 'Bellevue:Northeast Bellevue:']"
100161,"['Seattle:Downtown:Belltown', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:International District', 'Seattle:Downtown:Yesler Terrace', 'Seattle:Central Area:Atlantic', 'Seattle:Central Area:Leschi', 'Seattle:Rainier Valley:Mount Baker', 'Seattle:Central Area:Mann', 'Seattle:Central Area:Minor']"
100162,"['Bellevue:West Lake Hills:', 'Bellevue:Woodridge:', 'Bellevue:Wilburton:', 'Bellevue:West Bellevue:', 'Bellevue:Northwest Bellevue:', 'Clyde Hill::', 'Seattle:Capitol Hill:Montlake', 'Seattle:University District:', 'Medina::', 'Issaquah::', 'Unincorporated::', 'Bellevue:Eastgate - Cougar Mountain:', 'Bellevue:Sammamish - East Lake Hills:']"
100169,"['Seattle:Crown Hill:', 'Seattle:Ballard:Whittier Heights', 'Seattle:Ballard:West Woodland', 'Seattle:Fremont:', 'Seattle:Queen Anne:East Queen Anne', 'Seattle:Cascade:South Lake Union', 'Seattle:Downtown:Belltown', 'Seattle:Industrial District:', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:Central Business District', 'Seattle:Cascade:Westlake', 'Seattle:Phinney Ridge:', 'Seattle:Greenwood:', 'Seattle:Bitter Lake:', 'Unincorporated::', 'Seattle:Broadview:']"
100173,"['Seattle:Central Area:Madrona', 'Seattle:Central Area:Mann', 'Seattle:Central Area:Minor', 'Seattle:Downtown:First Hill', 'Seattle:Downtown:Yesler Terrace', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:Belltown', 'Seattle:Queen Anne:North Queen Anne', 'Seattle:Queen Anne:West Queen Anne', 'Seattle:Queen Anne:East Queen Anne', 'Seattle:Queen Anne:Lower Queen Anne', 'Seattle:Cascade:South Lake Union', 'Seattle:Central Area:Leschi', 'Seattle:Downtown:International District']"
100175,"['Shoreline::', 'Seattle:Northgate:Haller Lake', 'Seattle:Wallingford:', 'Seattle:Downtown:Central Business District', 'Seattle:Downtown:Pioneer Square', 'Seattle:Downtown:International District']"
100177,"['Seattle:Central Area:Minor', 'Seattle:Downtown:First Hill', 'Seattle:Downtown:Yesler Terrace', 'Seattle:Downtown:Central Business District', 'Seattle:Northgate:Maple Leaf', 'Shoreline::', 'Seattle:Northgate:Haller Lake', 'Seattle:Downtown:Pioneer Square']"
