,nhood,n_area_sq_mi,load_counts,stop_counts,route_counts,load_sq_mi,stop_sq_mi,route_sq_mi,city
0,Algona::,1.3059918869189384,2288.0,16,1,1751.9251251995058,12.251224651744796,0.7657015407340497,Algona
1,Auburn::,28.172336514813487,47798.0,155,6,1696.628888941001,5.50185107715501,0.21297488040600038,Auburn
2,Bellevue:Bridle Trails:,2.675364433095409,779.0,2,1,291.17528451953496,0.74756170608353,0.373780853041765,Bellevue
3,Bellevue:Crossroads:,1.5937369202941178,12124.0,32,4,7607.278118249632,20.078596155063362,2.5098245193829203,Bellevue
4,Bellevue:Eastgate - Cougar Mountain:,3.7880352901721666,477.0,3,1,125.92279729746666,0.7919672786004192,0.2639890928668064,Bellevue
5,Bellevue:Factoria:,1.0069353156527978,13439.0,32,6,13346.438237979044,31.77959845340646,5.958674710013711,Bellevue
6,Bellevue:Newport:,2.6809225031492105,7405.0,29,2,2762.108935003357,10.817172061458116,0.7460118663074563,Bellevue
7,Bellevue:Northeast Bellevue:,2.827360705053802,12795.0,45,6,4525.421880953998,15.915903450014062,2.122120460001875,Bellevue
8,Bellevue:Northwest Bellevue:,2.31221012482066,11958.0,28,5,5171.6753039161995,12.109626067039102,2.1624332262569825,Bellevue
9,Bellevue:Sammamish - East Lake Hills:,3.0703362626829267,10732.0,47,4,3495.3826166981935,15.307769566233237,1.3027888992538925,Bellevue
10,Bellevue:West Bellevue:,3.1132551514956956,20222.0,52,7,6495.452192630206,16.70277489945459,2.2484504672342718,Bellevue
11,Bellevue:West Lake Hills:,3.052530908611908,31871.0,62,8,10440.844320391452,20.311014648560448,2.6207760836852194,Bellevue
12,Bellevue:Wilburton:,2.599080097428264,12180.0,31,4,4686.273428838094,11.92729690426773,1.539006052163578,Bellevue
13,Bellevue:Woodridge:,1.5142396637338595,4868.0,14,4,3214.8147460332225,9.245564183333014,2.6415897666665757,Bellevue
14,Black Diamond::,7.203275513737447,540.0,5,1,74.96589558044253,0.6941286627818753,0.13882573255637506,Black Diamond
15,Bothell::,7.248882606922525,30782.0,79,7,4246.44757946609,10.898231394250574,0.9656660729082787,Bothell
16,Burien::,10.04923106348637,57299.0,123,8,5701.829288033239,12.239742446257148,0.7960808095126601,Burien
17,Carnation::,1.1626118561047345,180.0,4,1,154.82381248293808,3.440529166287513,0.8601322915718782,Carnation
18,Clyde Hill::,1.057404007284792,1128.0,3,1,1066.7635002599288,2.8371369687764068,0.9457123229254689,Clyde Hill
19,Covington::,5.918999224246773,7841.0,31,1,1324.7171866284225,5.2373718639817755,0.16894747948328306,Covington
20,Des Moines::,6.59352581653515,23970.0,73,4,3635.3842643473654,11.071466470478,0.6066556970124932,Des Moines
21,Duvall::,2.438018189228838,600.0,9,3,246.10152731870477,3.6915229097805717,1.230507636593524,Duvall
22,Enumclaw::,5.1311727576757535,5042.0,26,1,982.6213690540121,5.067067749981023,0.19488722115311627,Enumclaw
23,Federal Way::,22.60788034483501,55790.0,227,8,2467.7236056208058,10.040746701486341,0.353858914589827,Federal Way
