nhood,routes
Algona::,['917']
Auburn::,"['915', '181', '160', '184', '917', '165']"
Bellevue:Bridle Trails:,['250']
Bellevue:Crossroads:,"['221', '226', '245', 'B Line']"
Bellevue:Eastgate - Cougar Mountain:,['271']
Bellevue:Factoria:,"['241', '245', '240', '554', '212', '218']"
Bellevue:Newport:,"['240', '111']"
Bellevue:Northeast Bellevue:,"['269', '221', '226', '245', 'B Line', '225']"
Bellevue:Northwest Bellevue:,"['271', '226', '550', '250', '255']"
Bellevue:Sammamish - East Lake Hills:,"['221', '271', '226', '245']"
Bellevue:West Bellevue:,"['271', '226', '241', '240', 'B Line', '550', '250']"
Bellevue:West Lake Hills:,"['221', '271', '226', '241', '245', '240', 'B Line', '212']"
Bellevue:Wilburton:,"['271', '226', 'B Line', '250']"
Bellevue:Woodridge:,"['271', '241', '240', '212']"
Black Diamond::,['907']
Bothell::,"['522', '257', '311', '372', '230', '231', '239']"
Burien::,"['132', '131', '120', 'F Line', '128', '165', '161', '631']"
Carnation::,['629']
Clyde Hill::,['271']
Covington::,['168']
Des Moines::,"['635', 'A Line', '165', '156']"
Duvall::,"['629', '224', 'Duvall-Monroe Shuttle']"
Enumclaw::,['915']
Federal Way::,"['901', '903', '187', '182', '181', '193', 'A Line', '183']"
Issaquah::,"['269', '271', '208', '554', '218']"
Kenmore::,"['522', '372', '331', '225', '309']"
Kent::,"['193', 'A Line', '160', '914', '165', '161', '162', '150', '183', '153', '168']"
Kirkland:Bridle Trails:,['245']
Kirkland:Central Houghton:,"['245', '255']"
Kirkland:Everest:,"['245', '255']"
Kirkland:Finn Hill:,['225']
Kirkland:Highlands:,"['250', '239']"
Kirkland:Kingsgate:,"['257', '239', '930']"
Kirkland:Lakeview:,"['250', '255']"
Kirkland:Moss Bay:,"['245', '250', '230', '231', '255', '239']"
Kirkland:Norkirk:,"['230', '231', '255']"
Kirkland:North Juanita:,"['257', '225', '230', '231', '255', '930']"
Kirkland:North Rose Hill:,"['225', '250', '239']"
Kirkland:South Juanita:,"['230', '231', '255']"
Kirkland:South Rose Hill:,"['245', '225']"
Kirkland:Totem Lake:,"['257', '311', '225', '255', '239', '930']"
Lake Forest Park::,"['522', '372', '331', '309']"
Maple Valley::,"['907', '168']"
Medina::,"['271', '545', '542', '257', '311', '255']"
Mercer Island::,"['554', '550', '204']"
Newcastle::,['240']
Normandy Park::,['165']
North Bend::,"['208', '629']"
Pacific::,['917']
Redmond::,"['269', '221', '245', 'B Line', '545', '554', '542', '225', '250', '930', '224']"
Renton:Benson:,"['906', '102', '148', '160']"
Renton:Cedar River:,"['907', '102']"
Renton:City Center:,"['240', '907', '106', 'F Line', '107', '102', '148', '105', '160', '101', '153']"
Renton:East Plateau:,['111']
Renton:Fairwood:,"['906', '102', '148']"
Renton:Highlands:,"['240', '111', '105']"
Renton:Kennydale:,['111']
Renton:Talbot:,"['906', '160']"
Renton:Valley:,"['906', 'F Line', '153']"
Renton:West Hill:,"['106', '107', '102', '101']"
Sammamish::,"['269', '554']"
SeaTac::,"['Link light rail', '635', '132', '124', 'A Line', 'F Line', '128', '161', '156']"
Seattle:Ballard:Adams,"['40', '44', 'D Line']"
Seattle:Ballard:Loyal Heights,"['45', '40', 'D Line']"
Seattle:Ballard:Sunset Hill,"['45', '44']"
Seattle:Ballard:West Woodland,"['28', '40', '44', 'D Line']"
Seattle:Ballard:Whittier Heights,"['28', '45', 'D Line']"
Seattle:Beacon Hill:Holly Park,"['Link light rail', '106', '50', '36']"
Seattle:Beacon Hill:Mid-Beacon Hill,"['Link light rail', '124', '60', '106', '107', '50', '36']"
Seattle:Beacon Hill:North Beacon Hill,"['554', '212', 'Link light rail', '48', '60', '106', '107', '50', '36', '7']"
Seattle:Beacon Hill:South Beacon Hill,"['Link light rail', '106', '107', '36']"
Seattle:Bitter Lake:,"['304', '345', '28', '40', '5', 'E Line']"
Seattle:Broadview:,"['345', '28', '5']"
