stop_id,routes,routes_raw
250,"212, 111, 162","['212', '111', '162']"
260,162,['162']
280,"554, 212, 218, 111","['554', '212', '218', '111']"
300,162,['162']
320,"554, 212, 550, 218, 111","['554', '212', '550', '218', '111']"
340,"522, 301, 74, 102, 162, 150, 101","['522', '301', '74', '102', '162', '150', '101']"
360,"554, 212, 550, 218, 111","['554', '212', '550', '218', '111']"
361,"522, 301, 74, 102, 162, 150, 101","['522', '301', '74', '102', '162', '150', '101']"
375,"554, 212, 550, 218, 111","['554', '212', '550', '218', '111']"
390,"522, 301, 74, 102, 162, 150, 101","['522', '301', '74', '102', '162', '150', '101']"
400,"13, 2, 132, 131, 33, 27, 124, 24, 28, 26, 21, 56, 57, 55, 14, 4, 3, E Line, D Line, 1","['13', '2', '132', '131', '33', '27', '124', '24', '28', '26', '21', '56', '57', '55', '14', '4', '3', 'E Line', 'D Line', '1']"
420,"13, 2, 132, 131, 33, 27, 124, 24, 62, 28, 26, 40, 21, 120, 56, 57, 55, 14, 4, 3, E Line, D Line, C Line, 1","['13', '2', '132', '131', '33', '27', '124', '24', '62', '28', '26', '40', '21', '120', '56', '57', '55', '14', '4', '3', 'E Line', 'D Line', 'C Line', '1']"
430,"13, 2, 62, 40, 36, 7, 14, 70, 4, 3, 1","['13', '2', '62', '40', '36', '7', '14', '70', '4', '3', '1']"
431,"21, 56, 57, 55, E Line, D Line, C Line","['21', '56', '57', '55', 'E Line', 'D Line', 'C Line']"
433,"304, 132, 131, 33, 27, 124, 24, 28, 26, 125, 120","['304', '132', '131', '33', '27', '124', '24', '28', '26', '125', '120']"
450,"10, 13, 41, 2, 62, 40, 11, 36, 7, 49, 14, 70, 4, 3, 43, 1","['10', '13', '41', '2', '62', '40', '11', '36', '7', '49', '14', '70', '4', '3', '43', '1']"
455,Link light rail,['Link light rail']
468,"304, 132, 131, 33, 27, 124, 24, 28, 26, 125, 21, 120, 56, 57, 55, E Line, D Line, C Line","['304', '132', '131', '33', '27', '124', '24', '28', '26', '125', '21', '120', '56', '57', '55', 'E Line', 'D Line', 'C Line']"
480,"10, 13, 41, 2, 62, 40, 11, 36, 7, 49, 14, 70, 4, 3, 43, 1","['10', '13', '41', '2', '62', '40', '11', '36', '7', '49', '14', '70', '4', '3', '43', '1']"
481,"125, 120, 56, 21, 57, 55, C Line","['125', '120', '56', '21', '57', '55', 'C Line']"
490,"304, 132, 131, 33, 27, 124, 24, 28, 26, 21, E Line, D Line","['304', '132', '131', '33', '27', '124', '24', '28', '26', '21', 'E Line', 'D Line']"
500,"10, 13, 41, 2, 62, 40, 11, 36, 7, 49, 14, 70, 4, 43, 1","['10', '13', '41', '2', '62', '40', '11', '36', '7', '49', '14', '70', '4', '43', '1']"
501,Link light rail,['Link light rail']
515,"10, 13, 2, 132, 131, 33, 124, 24, 28, 26, 40, 21, 11, 36, 7, 49, 14, 70, 4, E Line, D Line, 43, 1","['10', '13', '2', '132', '131', '33', '124', '24', '28', '26', '40', '21', '11', '36', '7', '49', '14', '70', '4', 'E Line', 'D Line', '43', '1']"
531,"304, 41, 132, 131, 33, 27, 124, 24, 62, 28, 26, 40, 5, 21, 3","['304', '41', '132', '131', '33', '27', '124', '24', '62', '28', '26', '40', '5', '21', '3']"
532,Link light rail,['Link light rail']
538,"13, 2, 36, 7, 49, 1, 14, 70, 4, 3, E Line, D Line","['13', '2', '36', '7', '49', '1', '14', '70', '4', '3', 'E Line', 'D Line']"
539,"125, C Line","['125', 'C Line']"
548,"304, 41, 132, 131, 33, 27, 124, 24, 62, 28, 26, 40, 5, 21, 120, 56, 57, 55","['304', '41', '132', '131', '33', '27', '124', '24', '62', '28', '26', '40', '5', '21', '120', '56', '57', '55']"
558,"13, 2, 125, 36, 7, 49, 1, 14, 70, 4, 3, E Line, D Line, C Line","['13', '2', '125', '36', '7', '49', '1', '14', '70', '4', '3', 'E Line', 'D Line', 'C Line']"
565,Link light rail,['Link light rail']
570,"304, 41, 132, 131, 33, 27, 124, 24, 62, 28, 26, 40, 5, 21, 120, 56, 57, 55","['304', '41', '132', '131', '33', '27', '124', '24', '62', '28', '26', '40', '5', '21', '120', '56', '57', '55']"
575,"13, 2, 36, 7, 49, 1, 14, 70, 4, 3","['13', '2', '36', '7', '49', '1', '14', '70', '4', '3']"
578,"125, E Line, D Line, C Line","['125', 'E Line', 'D Line', 'C Line']"
590,"304, 41, 33, 27, 124, 24, 62, 28, 26, 40, 5, 21, 120, 56, 57, 55","['304', '41', '33', '27', '124', '24', '62', '28', '26', '40', '5', '21', '120', '56', '57', '55']"
600,"13, 2, 33, 124, 24, 62, 28, 26, 40, 5, 120, 21, 1, 14, 4, 3, E Line, D Line, C Line","['13', '2', '33', '124', '24', '62', '28', '26', '40', '5', '120', '21', '1', '14', '4', '3', 'E Line', 'D Line', 'C Line']"
605,"13, 2, 33, 124, 24, 28, 26, 5, 1, 4, E Line, D Line, 3","['13', '2', '33', '124', '24', '28', '26', '5', '1', '4', 'E Line', 'D Line', '3']"
619,"41, 132, 131, 33, 124, 24, 28, 26, 40, 5, 21","['41', '132', '131', '33', '124', '24', '28', '26', '40', '5', '21']"
620,"522, 554, 545, 212, 550, 218, 111, 102, 150, 101","['522', '554', '545', '212', '550', '218', '111', '102', '150', '101']"
621,Link light rail,['Link light rail']
623,Link light rail,['Link light rail']
625,62,['62']
628,"554, 212, 550, 218, 111","['554', '212', '550', '218', '111']"
640,"522, 545, 102, 150, 101","['522', '545', '102', '150', '101']"
648,"554, 212, 550, 218, 111","['554', '212', '550', '218', '111']"
660,"522, 545, 102, 150, 101","['522', '545', '102', '150', '101']"
670,"554, 212, 550, 218, 111","['554', '212', '550', '218', '111']"
690,"522, 550, 102, 150, 101","['522', '550', '102', '150', '101']"
700,"554, 545, 212, 218, 111","['554', '545', '212', '218', '111']"
720,"554, 212","['554', '212']"
730,554,['554']
760,"545, 257, 311","['545', '257', '311']"
790,"545, 257, 311","['545', '257', '311']"
800,303,['303']
810,"545, 257, 311","['545', '257', '311']"
820,"545, 257, 311, 304","['545', '257', '311', '304']"
840,"257, 311, 301, 74","['257', '311', '301', '74']"
844,"545, 257, 311, 41, 106, 36, 7, 14","['545', '257', '311', '41', '106', '36', '7', '14']"
860,"257, 311, 301, 304, 74","['257', '311', '301', '304', '74']"
875,"64, 309","['64', '309']"
880,"304, 7, 70","['304', '7', '70']"
900,"64, 309, 70","['64', '309', '70']"
905,"545, 257, 218, 311, 304","['545', '257', '218', '311', '304']"
940,"545, 257, 218, 311, 304, 70","['545', '257', '218', '311', '304', '70']"
950,"545, 257, 218, 311, 304, 70","['545', '257', '218', '311', '304', '70']"
970,218,['218']
992,111,['111']
996,"257, 311, 301, 74","['257', '311', '301', '74']"
997,"257, 311, 301, 74, 162","['257', '311', '301', '74', '162']"
1000,"11, 49","['11', '49']"
1010,111,['111']
1040,"212, 218, 41, 111","['212', '218', '41', '111']"
1050,"545, 212, 257, 311, 218","['545', '212', '257', '311', '218']"
1051,"545, 257, 311","['545', '257', '311']"
1085,"10, 11, 7, 49, 43","['10', '11', '7', '49', '43']"
1108,Link light rail,['Link light rail']
1110,"10, 11, 7, 49, 43","['10', '11', '7', '49', '43']"
1120,"10, 11, 49, 162","['10', '11', '49', '162']"
1121,Link light rail,['Link light rail']
1180,"10, 11, 49, 43","['10', '11', '49', '43']"
1190,"522, 550, 102, 150, 101","['522', '550', '102', '150', '101']"
1195,"301, 74","['301', '74']"
1209,"301, 41, 74","['301', '41', '74']"
1215,"522, 550, 301, 41, 74, 102, 150, 101","['522', '550', '301', '41', '74', '102', '150', '101']"
1230,"522, 550, 301, 74, 102, 150, 101","['522', '550', '301', '74', '102', '150', '101']"
1250,"13, 2","['13', '2']"
1260,"13, 2","['13', '2']"
1270,2,['2']
1280,2,['2']
1300,12,['12']
1340,27,['27']
1350,27,['27']
1360,27,['27']
1370,"33, 27","['33', '27']"
1400,12,['12']
1404,E Line,['E Line']
1415,12,['12']
1420,12,['12']
1471,"10, 13, 2, 106, 36, 7, 49, 14, 70, 4, 43, 1","['10', '13', '2', '106', '36', '7', '49', '14', '70', '4', '43', '1']"
1480,"554, 106, 36, 7, 14","['554', '106', '36', '7', '14']"
1490,"106, 36, 7, 14","['106', '36', '7', '14']"
1500,"106, 36, 7, 49, 1, 14, 70","['106', '36', '7', '49', '1', '14', '70']"
1510,"106, 36, 7, 49, 1, 14, 70","['106', '36', '7', '49', '1', '14', '70']"
1530,"13, 2, 62, 36, 7, 49, 1, 14, 70, 4, 3","['13', '2', '62', '36', '7', '49', '1', '14', '70', '4', '3']"
1540,"13, 4, 3","['13', '4', '3']"
1550,"13, 4, 3","['13', '4', '3']"
1551,First Hill Streetcar,['First Hill Streetcar']
1558,"125, 120, 56, 21, 57, 55, C Line","['125', '120', '56', '21', '57', '55', 'C Line']"
1560,"4, 3","['4', '3']"
1565,"125, 120, 56, 21, 57, 55, C Line","['125', '120', '56', '21', '57', '55', 'C Line']"
1570,"303, 4, 3","['303', '4', '3']"
1580,12,['12']
1590,12,['12']
1610,"13, 2, 36, 7, 49, 1, 14, 70, 4, E Line, D Line, 3","['13', '2', '36', '7', '49', '1', '14', '70', '4', 'E Line', 'D Line', '3']"
1619,South Lake Union Streetcar,['South Lake Union Streetcar']
1630,South Lake Union Streetcar,['South Lake Union Streetcar']
1651,First Hill Streetcar,['First Hill Streetcar']
1652,First Hill Streetcar,['First Hill Streetcar']
1661,First Hill Streetcar,['First Hill Streetcar']
1662,First Hill Streetcar,['First Hill Streetcar']
1671,First Hill Streetcar,['First Hill Streetcar']
1672,First Hill Streetcar,['First Hill Streetcar']
1681,First Hill Streetcar,['First Hill Streetcar']
1682,First Hill Streetcar,['First Hill Streetcar']
1690,"13, 2, 33, 24, 1, 4, D Line, 3","['13', '2', '33', '24', '1', '4', 'D Line', '3']"
1710,"304, 41, D Line","['304', '41', 'D Line']"
1889,975,['975']
1890,12,['12']
1907,973,['973']
1920,554,['554']
2010,1,['1']
2020,1,['1']
2030,1,['1']
2050,1,['1']
2060,1,['1']
2070,1,['1']
2080,1,['1']
2090,1,['1']
2100,1,['1']
2110,1,['1']
2120,1,['1']
2130,1,['1']
2140,1,['1']
2150,1,['1']
2180,"13, 32, 2, 8, 1","['13', '32', '2', '8', '1']"
2200,"13, 2, 8, 1, D Line","['13', '2', '8', '1', 'D Line']"
2201,Duvall-Monroe Shuttle,['Duvall-Monroe Shuttle']
2202,Duvall-Monroe Shuttle,['Duvall-Monroe Shuttle']
2203,Duvall-Monroe Shuttle,['Duvall-Monroe Shuttle']
2204,Duvall-Monroe Shuttle,['Duvall-Monroe Shuttle']
2205,Duvall-Monroe Shuttle,['Duvall-Monroe Shuttle']
2206,Duvall-Monroe Shuttle,['Duvall-Monroe Shuttle']
2220,"13, 2, 33, 27, 124, 24, 1, 14, 4, 3, D Line","['13', '2', '33', '27', '124', '24', '1', '14', '4', '3', 'D Line']"
2244,"13, 2, 33, 24, 8, 1","['13', '2', '33', '24', '8', '1']"
2245,8,['8']
2247,8,['8']
2250,8,['8']
2255,8,['8']
2260,8,['8']
2262,8,['8']
2275,8,['8']
2285,8,['8']
2291,8,['8']
2295,8,['8']
2297,8,['8']
2300,8,['8']
2320,"13, 2, 33, 24, 1","['13', '2', '33', '24', '1']"
